sut,mutant_id,fault_class,mr_id,mr_meta_pattern,trial_id,killed,residual,tolerance,seed,status
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR1,P1_conservation,d2,0,,,2,survived
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR1,P1_conservation,d2,1,,,2,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR1,P1_conservation,d2,0,,,2,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR1,P1_conservation,d2,0,,,2,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR1,P1_conservation,d2,0,,,2,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR1,P1_conservation,d3,1,,,3,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU10_ic_shift,initial_condition_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR1,P1_conservation,d3,1,,,3,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR1,P1_conservation,d3,0,,,3,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR1,P1_conservation,d4,1,,,4,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR1,P1_conservation,d4,1,,,4,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR1,P1_conservation,d4,1,,,4,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR1,P1_conservation,d4,0,,,4,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR1,P1_conservation,d5,1,,,5,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR1,P1_conservation,d5,1,,,5,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR1,P1_conservation,d5,1,,,5,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR1,P1_conservation,d5,0,,,5,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR1,P1_conservation,d6,1,,,6,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR1,P1_conservation,d6,1,,,6,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR1,P1_conservation,d6,1,,,6,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR1,P1_conservation,d6,0,,,6,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR1,P1_conservation,d7,1,,,7,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU10_ic_shift,initial_condition_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR1,P1_conservation,d7,1,,,7,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR1,P1_conservation,d7,0,,,7,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR10,P1_conservation,d0,1,,,0,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR10,P1_conservation,d0,1,,,0,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR10,P1_conservation,d0,1,,,0,killed
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR10,P1_conservation,d0,1,,,0,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR10,P1_conservation,d0,0,,,0,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR10,P1_conservation,d1,1,,,1,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR10,P1_conservation,d1,1,,,1,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR10,P1_conservation,d1,1,,,1,killed
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR10,P1_conservation,d1,1,,,1,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR10,P1_conservation,d1,0,,,1,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR10,P1_conservation,d2,1,,,2,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR10,P1_conservation,d2,1,,,2,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR10,P1_conservation,d2,1,,,2,killed
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR10,P1_conservation,d2,1,,,2,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR10,P1_conservation,d2,0,,,2,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR10,P1_conservation,d3,1,,,3,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR10,P1_conservation,d3,1,,,3,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR10,P1_conservation,d3,1,,,3,killed
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR10,P1_conservation,d3,1,,,3,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR10,P1_conservation,d3,0,,,3,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR10,P1_conservation,d4,1,,,4,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR10,P1_conservation,d4,1,,,4,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR10,P1_conservation,d4,1,,,4,killed
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR10,P1_conservation,d4,1,,,4,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR10,P1_conservation,d4,0,,,4,survived
p7_burgers,BU1_flux_linear,flux_form_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU2_roll_sign,upwind_direction_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU3_no_conserve,conservation_form_drop,MR10,P1_conservation,d5,1,,,5,killed
p7_burgers,BU4_cfl_x2,cfl_scale_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU5_equiv,equivalent_reorder,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU6_flux_half,flux_coefficient_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU7_flux_1pct,subtle_coefficient_bias,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU8_ic_amp2,initial_condition_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU9_ic_mean_drop,initial_condition_error,MR10,P1_conservation,d5,1,,,5,killed
p7_burgers,BU10_ic_shift,initial_condition_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU11_dt_1pct,subtle_coefficient_bias,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU12_cfl_frozen,cfl_freeze_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU13_roll2,stencil_offset_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU14_nt_minus1,time_loop_truncation,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU15_abs_flux,flux_form_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU16_mass_no_dx,mass_observable_scale,MR10,P1_conservation,d5,1,,,5,killed
p7_burgers,BU17_boundary_freeze,boundary_update_drop,MR10,P1_conservation,d5,1,,,5,killed
p7_burgers,BU18_visc_spurious,spurious_diffusion,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU19_umax_floor,cfl_floor_error,MR10,P1_conservation,d5,0,,,5,survived
p7_burgers,BU20_equiv_temp,equivalent_reorder,MR10,P1_conservation,d5,0,,,5,survived
